run-id,bgr,nc_mode,crop-id,sim.json,crop.json,site.json,incl_hist,gcm,rcm,scenario,ensmem,version,start_year,end_year,groundwater-level,impenetrable-layer,elevation,slope,latitude,sowing-date,harvest-date,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3
14,FALSE,TRUE,WW,sim.json,crop.json,site.json,TRUE,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,2070,2099,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
15,FALSE,TRUE,WW,sim.json,crop.json,site.json,TRUE,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,2021,2050,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
16,FALSE,TRUE,WW,sim.json,crop.json,site.json,TRUE,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,2070,2099,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
17,FALSE,TRUE,WG,sim.json,crop.json,site.json,TRUE,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,2021,2050,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
18,FALSE,TRUE,WR,sim.json,crop.json,site.json,TRUE,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,2021,2050,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
19,FALSE,TRUE,WRa,sim.json,crop.json,site.json,TRUE,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,2021,2050,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
20,FALSE,TRUE,SG,sim.json,crop.json,site.json,TRUE,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,2021,2050,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
21,FALSE,TRUE,ZR,sim.json,crop.json,site.json,TRUE,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,2021,2050,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
22,FALSE,TRUE,SM,sim.json,crop.json,site.json,TRUE,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,2021,2050,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
23,FALSE,TRUE,KA,sim.json,crop.json,site.json,TRUE,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,2021,2050,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
