run-id;use_vernalisation_fix;yields;bgr;pheno;sowing-date;harvest-date;nc_mode;crop-id;sim.json;crop.json;site.json;incl_hist;climate_path_to_latlon_file;climate_path_to_csvs;gcm;rcm;scenario;ensmem;version;start_date;end_date;groundwater-level;impenetrable-layer;elevation;slope;latitude;landcover;fertilization;NitrogenResponseOn;irrigation;WaterDeficitResponseOn;EmergenceMoistureControlOn;EmergenceFloodingControlOn;LeafExtensionModifier;CO2;O3;FieldConditionModifier;StageTemperatureSum;comment
1;true;true;false;false;fixed;auto;false;MULTICROP;sim.json;crop_final.json;site.json;false;dwd_modoklim_csvs;dwd_modoklim_csvs;CCCma-CanESM2;CLMcom-CCLM4-8-17;rcp85;r1;;1970-01-01;2099-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;;;simulation_runs_with_dwd_ensemble
2;true;true;false;false;fixed;auto;false;MULTICROP;sim.json;crop_final.json;site.json;false;dwd_modoklim_csvs;dwd_modoklim_csvs;ICHEC-EC-EARTH;CLMcom-CCLM4-8-17;rcp26;r12;;1970-01-01;2099-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;;;simulation_runs_with_dwd_ensemble
3;true;true;false;false;fixed;auto;false;MULTICROP;sim.json;crop_final.json;site.json;false;dwd_modoklim_csvs;dwd_modoklim_csvs;ICHEC-EC-EARTH;KNMI-RACMO22E;rcp26;r12;;1970-01-01;2099-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;;;simulation_runs_with_dwd_ensemble
4;true;true;false;false;fixed;auto;false;MULTICROP;sim.json;crop_final.json;site.json;false;dwd_modoklim_csvs;dwd_modoklim_csvs;ICHEC-EC-EARTH;KNMI-RACMO22E;rcp45;r1;;1970-01-01;2099-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;;;simulation_runs_with_dwd_ensemble
5;true;true;false;false;fixed;auto;false;MULTICROP;sim.json;crop_final.json;site.json;false;dwd_modoklim_csvs;dwd_modoklim_csvs;ICHEC-EC-EARTH;KNMI-RACMO22E;rcp45;r12;;1970-01-01;2099-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;;;simulation_runs_with_dwd_ensemble
6;true;true;false;false;fixed;auto;false;MULTICROP;sim.json;crop_final.json;site.json;false;dwd_modoklim_csvs;dwd_modoklim_csvs;ICHEC-EC-EARTH;KNMI-RACMO22E;rcp85;r1;;1970-01-01;2099-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;;;simulation_runs_with_dwd_ensemble
7;true;true;false;false;fixed;auto;false;MULTICROP;sim.json;crop_final.json;site.json;false;dwd_modoklim_csvs;dwd_modoklim_csvs;ICHEC-EC-EARTH;SMHI-RCA4;rcp45;r12;;1970-01-01;2099-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;;;simulation_runs_with_dwd_ensemble
8;true;true;false;false;fixed;auto;false;MULTICROP;sim.json;crop_final.json;site.json;false;dwd_modoklim_csvs;dwd_modoklim_csvs;MIROC-MIROC5;CLMcom-CCLM4-8-17;rcp26;r1;;1970-01-01;2099-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;;;simulation_runs_with_dwd_ensemble
9;true;true;false;false;fixed;auto;false;MULTICROP;sim.json;crop_final.json;site.json;false;dwd_modoklim_csvs;dwd_modoklim_csvs;MIROC-MIROC5;GERICS-REMO2015;rcp85;r1;;1970-01-01;2099-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;;;simulation_runs_with_dwd_ensemble
10;true;true;false;false;fixed;auto;false;MULTICROP;sim.json;crop_final.json;site.json;false;dwd_modoklim_csvs;dwd_modoklim_csvs;MOHC-HadGEM2-ES;CLMcom-CCLM4-8-17;rcp45;r1;;1970-01-01;2099-11-30;false;false;true;true;true;false;true;true;false;true;false;false;false;;;;;simulation_runs_with_dwd_ensemble
