run-id,use_vernalisation_fix,yields,bgr,pheno,sowing-date,harvest-date,nc_mode,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment
1,TRUE,TRUE,FALSE,FALSE,fixed,auto,FALSE,SM_sfix_hauto,sim_remote_sensing.json,crop_final.json,site.json,FALSE,dwd/csvs,dwd/csvs/germany,,,,,,2017-01-01,2019-12-31,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.98,100_220_390_120_330_140_25,gohar remote sensing test
2,TRUE,TRUE,FALSE,FALSE,fixed,auto,FALSE,WW_sfix_hauto,sim_remote_sensing.json,crop_final.json,site.json,FALSE,dwd/csvs,dwd/csvs/germany,,,,,,2017-01-01,2019-12-31,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1.0,165_225_395_180_330_25,gohar remote sensing test
3,TRUE,TRUE,FALSE,FALSE,fixed,auto,FALSE,WB_sfix_hauto,sim_remote_sensing.json,crop_final.json,site.json,FALSE,dwd/csvs,dwd/csvs/germany,,,,,,2017-01-01,2019-12-31,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.73,100_256_230_100_267_25,gohar remote sensing test
