run-id;use_vernalisation_fix;yields;bgr;pheno;sowing-date;harvest-date;nc_mode;crop-id;sim.json;crop.json;site.json;incl_hist;climate_path_to_latlon_file;climate_path_to_csvs;gcm;rcm;scenario;ensmem;version;start_date;end_date;groundwater-level;impenetrable-layer;elevation;slope;latitude;landcover;fertilization;NitrogenResponseOn;irrigation;WaterDeficitResponseOn;EmergenceMoistureControlOn;EmergenceFloodingControlOn;LeafExtensionModifier;CO2;O3;FieldConditionModifier;StageTemperatureSum;comment
1;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim_historic.json;crop_final.json;site.json;false;dwd/csvs;dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30;;;;;;1985-01-01;2024-08-29;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;149_276_336_112_586_15;historic_runs_observation
2;true;true;false;false;fixed;auto;false;SB_sfix_hauto;sim_historic.json;crop_final.json;site.json;false;dwd/csvs;dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30;;;;;;1985-01-01;2024-08-29;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.87;66_326_244_233_144_518_21;historic_runs_observation
3;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim_historic.json;crop_final.json;site.json;false;dwd/csvs;dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30;;;;;;1985-01-01;2024-08-29;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;66_326_244_233_144_518_21;historic_runs_observation
4;true;true;false;false;fixed;auto;false;WR_sfix_hauto;sim_historic.json;crop_final.json;site.json;false;dwd/csvs;dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30;;;;;;1985-01-01;2024-08-29;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.88;66_326_244_233_144_518_21;historic_runs_observation
5;true;true;false;false;fixed;auto;false;WRa_sfix_hauto;sim_historic.json;crop_final.json;site.json;false;dwd/csvs;dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30;;;;;;1985-01-01;2024-08-29;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.81;66_326_244_233_144_518_21;historic_runs_observation
6;true;true;false;false;fixed;auto;false;SM_sfix_hauto;sim_historic.json;crop_final.json;site.json;false;dwd/csvs;dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30;;;;;;1985-01-01;2024-08-29;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.98;66_326_244_233_144_518_21;historic_runs_observation
7;true;true;false;false;fixed;auto;false;SU_sfix_hauto;sim_historic.json;crop_final.json;site.json;false;dwd/csvs;dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30;;;;;;1985-01-01;2024-08-29;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.92;66_326_244_233_144_518_21;historic_runs_observation
8;true;true;false;false;fixed;auto;false;PO_sfix_hauto;sim_historic.json;crop_final.json;site.json;false;dwd/csvs;dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30;;;;;;1985-01-01;2024-08-29;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.71;66_326_244_233_144_518_21;historic_runs_observation
9;true;true;false;false;fixed;auto;false;SBee_sfix_hauto;sim_historic.json;crop_final.json;site.json;false;dwd/csvs;dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30;;;;;;1985-01-01;2024-08-29;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;66_326_244_233_144_518_21;historic_runs_observation
