run-id ,use_vernalisation_fix ,yields ,bgr   ,pheno ,sowing-date ,harvest-date ,nc_mode ,crop-id   ,sim.json             ,crop.json       ,site.json ,incl_hist ,climate_path_to_latlon_file ,climate_path_to_csvs                     ,gcm              ,rcm               ,scenario ,ensmem  ,version ,start_date ,end_date   ,groundwater-level ,impenetrable-layer ,elevation ,slope ,latitude ,landcover ,fertilization ,NitrogenResponseOn ,irrigation ,WaterDeficitResponseOn ,EmergenceMoistureControlOn ,EmergenceFloodingControlOn ,LeafExtensionModifier ,CO2 ,O3 ,FieldConditionModifier ,comment
11     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WW_sustag ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,CLMcom-CCLM4-8-17 ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.86                   ,simulation_runs_with_dwd_ensemble
12     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WG        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,CLMcom-CCLM4-8-17 ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.71                   ,simulation_runs_with_dwd_ensemble
13     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WR        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,CLMcom-CCLM4-8-17 ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.78                   ,simulation_runs_with_dwd_ensemble
14     ,false                 ,true   ,false ,false ,auto        ,auto         ,false   ,WRa       ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,CLMcom-CCLM4-8-17 ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.75                   ,simulation_runs_with_dwd_ensemble
15     ,false                 ,true   ,false ,false ,auto        ,auto         ,false   ,SG        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,CLMcom-CCLM4-8-17 ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,1                      ,simulation_runs_with_dwd_ensemble
16     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,ZR        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,CLMcom-CCLM4-8-17 ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.86                   ,simulation_runs_with_dwd_ensemble
17     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,SM        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,CLMcom-CCLM4-8-17 ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.91                   ,simulation_runs_with_dwd_ensemble
18     ,false                 ,true   ,false ,false ,auto        ,auto         ,false   ,KA        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,CLMcom-CCLM4-8-17 ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.71                   ,simulation_runs_with_dwd_ensemble
19     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WW        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.9                    ,simulation_runs_with_dwd_ensemble
20     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WW_sustag ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.86                   ,simulation_runs_with_dwd_ensemble
21     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WG        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.71                   ,simulation_runs_with_dwd_ensemble
22     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WR        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.78                   ,simulation_runs_with_dwd_ensemble
23     ,false                 ,true   ,false ,false ,auto        ,auto         ,false   ,WRa       ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.75                   ,simulation_runs_with_dwd_ensemble
24     ,false                 ,true   ,false ,false ,auto        ,auto         ,false   ,SG        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,1                      ,simulation_runs_with_dwd_ensemble
25     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,ZR        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.86                   ,simulation_runs_with_dwd_ensemble
26     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,SM        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.91                   ,simulation_runs_with_dwd_ensemble
27     ,false                 ,true   ,false ,false ,auto        ,auto         ,false   ,KA        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp26    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.71                   ,simulation_runs_with_dwd_ensemble
28     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WW        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r1i1p1  ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.9                    ,simulation_runs_with_dwd_ensemble
29     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WW_sustag ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r1i1p1  ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.86                   ,simulation_runs_with_dwd_ensemble
30     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WG        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r1i1p1  ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.71                   ,simulation_runs_with_dwd_ensemble
31     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WR        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r1i1p1  ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.78                   ,simulation_runs_with_dwd_ensemble
32     ,false                 ,true   ,false ,false ,auto        ,auto         ,false   ,WRa       ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r1i1p1  ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.75                   ,simulation_runs_with_dwd_ensemble
33     ,false                 ,true   ,false ,false ,auto        ,auto         ,false   ,SG        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r1i1p1  ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,1                      ,simulation_runs_with_dwd_ensemble
34     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,ZR        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r1i1p1  ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.86                   ,simulation_runs_with_dwd_ensemble
35     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,SM        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r1i1p1  ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.91                   ,simulation_runs_with_dwd_ensemble
36     ,false                 ,true   ,false ,false ,auto        ,auto         ,false   ,KA        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r1i1p1  ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.71                   ,simulation_runs_with_dwd_ensemble
37     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WW        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.9                    ,simulation_runs_with_dwd_ensemble
38     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WW_sustag ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.86                   ,simulation_runs_with_dwd_ensemble
39     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WG        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.71                   ,simulation_runs_with_dwd_ensemble
40     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WR        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.78                   ,simulation_runs_with_dwd_ensemble
41     ,false                 ,true   ,false ,false ,auto        ,auto         ,false   ,WRa       ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.75                   ,simulation_runs_with_dwd_ensemble
42     ,false                 ,true   ,false ,false ,auto        ,auto         ,false   ,SG        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,1                      ,simulation_runs_with_dwd_ensemble
43     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,ZR        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.86                   ,simulation_runs_with_dwd_ensemble
44     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,SM        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.91                   ,simulation_runs_with_dwd_ensemble
45     ,false                 ,true   ,false ,false ,auto        ,auto         ,false   ,KA        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp45    ,r12i1p1 ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.71                   ,simulation_runs_with_dwd_ensemble
46     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WW        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp85    ,r1i1p1  ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.9                    ,simulation_runs_with_dwd_ensemble
47     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WW_sustag ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp85    ,r1i1p1  ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.86                   ,simulation_runs_with_dwd_ensemble
48     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WG        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp85    ,r1i1p1  ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.71                   ,simulation_runs_with_dwd_ensemble
49     ,true                  ,true   ,false ,false ,auto        ,auto         ,false   ,WR        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp85    ,r1i1p1  ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.78                   ,simulation_runs_with_dwd_ensemble
50     ,false                 ,true   ,false ,false ,auto        ,auto         ,false   ,WRa       ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp85    ,r1i1p1  ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,0.75                   ,simulation_runs_with_dwd_ensemble
51     ,false                 ,true   ,false ,false ,auto        ,auto         ,false   ,SG        ,sim_final.json       ,crop_final.json ,site.json ,true      ,dwd_core_ensemble           ,dwd_core_ensemble/csvs_dwd_core_ensemble ,ICHEC-EC-EARTH   ,KNMI-RACMO22E     ,rcp85    ,r1i1p1  ,v1      ,1960-01-01 ,2099-12-31 ,false             ,false              ,true      ,true  ,true     ,false     ,false         ,true               ,false      ,true                   ,false                      ,false                      ,false                 ,    ,   ,1                      ,simulation_runs_with_dwd_ensemble
