run-id;use_vernalisation_fix;yields;bgr;pheno;sowing-date;harvest-date;nc_mode;crop-id;sim.json;crop.json;site.json;incl_hist;climate_path_to_latlon_file;climate_path_to_csvs;gcm;rcm;scenario;ensmem;version;start_date;end_date;groundwater-level;impenetrable-layer;elevation;slope;latitude;landcover;fertilization;NitrogenResponseOn;irrigation;WaterDeficitResponseOn;EmergenceMoistureControlOn;EmergenceFloodingControlOn;LeafExtensionModifier;CO2;O3;FieldConditionModifier;StageTemperatureSum;comment
1;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;GFDL-ESM4;;ssp126;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_isimip_cmip6
2;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;GFDL-ESM4;;ssp370;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_isimip_cmip6
3;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;GFDL-ESM4;;ssp585;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_isimip_cmip6
4;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;IPSL-CM6A-LR;;ssp126;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_isimip_cmip6
5;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;IPSL-CM6A-LR;;ssp370;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_isimip_cmip6
6;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;IPSL-CM6A-LR;;ssp585;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_isimip_cmip6
7;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MPI-ESM1-2-HR;;ssp126;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_isimip_cmip6
8;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MPI-ESM1-2-HR;;ssp370;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_isimip_cmip6
9;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MPI-ESM1-2-HR;;ssp585;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_isimip_cmip6
10;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MRI-ESM2-0;;ssp126;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_isimip_cmip6
11;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MRI-ESM2-0;;ssp370;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_isimip_cmip6
12;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MRI-ESM2-0;;ssp585;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_isimip_cmip6
13;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;UKESM1-0-LL;;ssp126;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_isimip_cmip6
14;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;UKESM1-0-LL;;ssp370;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_isimip_cmip6
15;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;UKESM1-0-LL;;ssp585;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_isimip_cmip6
16;true;true;false;false;fixed;auto;false;SB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;GFDL-ESM4;;ssp126;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.87;82_284_287_104_398_25;simulation_runs_with_isimip_cmip6
17;true;true;false;false;fixed;auto;false;SB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;GFDL-ESM4;;ssp370;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.87;82_284_287_104_398_25;simulation_runs_with_isimip_cmip6
18;true;true;false;false;fixed;auto;false;SB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;GFDL-ESM4;;ssp585;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.87;82_284_287_104_398_25;simulation_runs_with_isimip_cmip6
19;true;true;false;false;fixed;auto;false;SB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;IPSL-CM6A-LR;;ssp126;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.87;82_284_287_104_398_25;simulation_runs_with_isimip_cmip6
20;true;true;false;false;fixed;auto;false;SB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;IPSL-CM6A-LR;;ssp370;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.87;82_284_287_104_398_25;simulation_runs_with_isimip_cmip6
21;true;true;false;false;fixed;auto;false;SB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;IPSL-CM6A-LR;;ssp585;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.87;82_284_287_104_398_25;simulation_runs_with_isimip_cmip6
22;true;true;false;false;fixed;auto;false;SB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MPI-ESM1-2-HR;;ssp126;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.87;82_284_287_104_398_25;simulation_runs_with_isimip_cmip6
23;true;true;false;false;fixed;auto;false;SB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MPI-ESM1-2-HR;;ssp370;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.87;82_284_287_104_398_25;simulation_runs_with_isimip_cmip6
24;true;true;false;false;fixed;auto;false;SB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MPI-ESM1-2-HR;;ssp585;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.87;82_284_287_104_398_25;simulation_runs_with_isimip_cmip6
25;true;true;false;false;fixed;auto;false;SB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MRI-ESM2-0;;ssp126;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.87;82_284_287_104_398_25;simulation_runs_with_isimip_cmip6
26;true;true;false;false;fixed;auto;false;SB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MRI-ESM2-0;;ssp370;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.87;82_284_287_104_398_25;simulation_runs_with_isimip_cmip6
27;true;true;false;false;fixed;auto;false;SB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MRI-ESM2-0;;ssp585;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.87;82_284_287_104_398_25;simulation_runs_with_isimip_cmip6
28;true;true;false;false;fixed;auto;false;SB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;UKESM1-0-LL;;ssp126;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.87;82_284_287_104_398_25;simulation_runs_with_isimip_cmip6
29;true;true;false;false;fixed;auto;false;SB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;UKESM1-0-LL;;ssp370;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.87;82_284_287_104_398_25;simulation_runs_with_isimip_cmip6
30;true;true;false;false;fixed;auto;false;SB_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;UKESM1-0-LL;;ssp585;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.87;82_284_287_104_398_25;simulation_runs_with_isimip_cmip6
31;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;GFDL-ESM4;;ssp126;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;149_276_336_112_586_15;simulation_runs_with_isimip_cmip6
32;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;GFDL-ESM4;;ssp370;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;149_276_336_112_586_15;simulation_runs_with_isimip_cmip6
33;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;GFDL-ESM4;;ssp585;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;149_276_336_112_586_15;simulation_runs_with_isimip_cmip6
34;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;IPSL-CM6A-LR;;ssp126;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;149_276_336_112_586_15;simulation_runs_with_isimip_cmip6
35;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;IPSL-CM6A-LR;;ssp370;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;149_276_336_112_586_15;simulation_runs_with_isimip_cmip6
36;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;IPSL-CM6A-LR;;ssp585;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;149_276_336_112_586_15;simulation_runs_with_isimip_cmip6
37;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MPI-ESM1-2-HR;;ssp126;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;149_276_336_112_586_15;simulation_runs_with_isimip_cmip6
38;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MPI-ESM1-2-HR;;ssp370;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;149_276_336_112_586_15;simulation_runs_with_isimip_cmip6
39;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MPI-ESM1-2-HR;;ssp585;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;149_276_336_112_586_15;simulation_runs_with_isimip_cmip6
40;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MRI-ESM2-0;;ssp126;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;149_276_336_112_586_15;simulation_runs_with_isimip_cmip6
41;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MRI-ESM2-0;;ssp370;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;149_276_336_112_586_15;simulation_runs_with_isimip_cmip6
42;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;MRI-ESM2-0;;ssp585;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;149_276_336_112_586_15;simulation_runs_with_isimip_cmip6
43;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;UKESM1-0-LL;;ssp126;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;149_276_336_112_586_15;simulation_runs_with_isimip_cmip6
44;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;UKESM1-0-LL;;ssp370;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;149_276_336_112_586_15;simulation_runs_with_isimip_cmip6
45;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;UKESM1-0-LL;;ssp585;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;149_276_336_112_586_15;simulation_runs_with_isimip_cmip6
46;true;true;false;false;fixed;auto;false;WR_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;GFDL-ESM4;;ssp126;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.88;139_327_144_391_255_31;simulation_runs_with_isimip_cmip6
47;true;true;false;false;fixed;auto;false;WR_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;GFDL-ESM4;;ssp370;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.88;139_327_144_391_255_31;simulation_runs_with_isimip_cmip6
48;true;true;false;false;fixed;auto;false;WR_sfix_hauto;sim.json;crop_final.json;site.json;false;ISIMIP3b/Germany;ISIMIP3b/Germany/csv;GFDL-ESM4;;ssp585;;;2015-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.88;139_327_144_391_255_31;simulation_runs_with_isimip_cmip6
