run-id;use_vernalisation_fix;yields;bgr;pheno;sowing-date;harvest-date;nc_mode;crop-id;sim.json;crop.json;site.json;incl_hist;climate_path_to_latlon_file;climate_path_to_csvs;gcm;rcm;scenario;ensmem;version;start_date;end_date;groundwater-level;impenetrable-layer;elevation;slope;latitude;landcover;fertilization;NitrogenResponseOn;irrigation;WaterDeficitResponseOn;EmergenceMoistureControlOn;EmergenceFloodingControlOn;LeafExtensionModifier;CO2;O3;FieldConditionModifier;StageTemperatureSum;comment
1;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;czechglobe/Germany;czechglobe/Germany/CMIP6/csv;CMCC-ESM2;;ssp126;;;2016-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_czechglobe_cmip6
2;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;czechglobe/Germany;czechglobe/Germany/CMIP6/csv;CMCC-ESM2;;ssp370;;;2016-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_czechglobe_cmip6
3;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;czechglobe/Germany;czechglobe/Germany/CMIP6/csv;CMCC-ESM2;;ssp585;;;2016-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_czechglobe_cmip6
4;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;czechglobe/Germany;czechglobe/Germany/CMIP6/csv;EC-EARTH3;;ssp126;;;2016-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_czechglobe_cmip6
5;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;czechglobe/Germany;czechglobe/Germany/CMIP6/csv;EC-EARTH3;;ssp370;;;2016-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_czechglobe_cmip6
6;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;czechglobe/Germany;czechglobe/Germany/CMIP6/csv;EC-EARTH3;;ssp585;;;2016-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_czechglobe_cmip6
7;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;czechglobe/Germany;czechglobe/Germany/CMIP6/csv;GFDL-ESM4;;ssp126;;;2016-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_czechglobe_cmip6
8;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;czechglobe/Germany;czechglobe/Germany/CMIP6/csv;GFDL-ESM4;;ssp370;;;2016-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_czechglobe_cmip6
9;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;czechglobe/Germany;czechglobe/Germany/CMIP6/csv;GFDL-ESM4;;ssp585;;;2016-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_czechglobe_cmip6
10;true;true;false;false;fixed;auto;false;WB_sfix_hauto;sim.json;crop_final.json;site.json;false;czechglobe/Germany;czechglobe/Germany/CMIP6/csv;MPI-ESM1-2-HR;;ssp126;;;2016-01-01;2100-12-31;false;false;true;true;true;false;true;true;false;true;false;false;false;;;0.73;137_318_290_90_282_25;simulation_runs_with_czechglobe_cmip6
