Stations_id,Referenzjahr,Qualitaetsniveau,Objekt_id,Phase_id,Eintrittsdatum,Eintrittsdatum_QB,Jultag,eor,Kulturpflanze
140,2016,10,207,12,20160408,1,98,eor,Sommergerste
140,2016,10,207,15,20160517,1,137,eor,Sommergerste
164,2016,10,207,10,20160325,1,84,eor,Sommergerste
164,2016,10,207,12,20160405,1,95,eor,Sommergerste
164,2016,10,207,15,20160513,1,133,eor,Sommergerste
164,2016,10,207,18,20160530,1,150,eor,Sommergerste
164,2016,10,207,21,20160802,1,214,eor,Sommergerste
164,2016,10,207,24,20160809,1,221,eor,Sommergerste
183,2016,10,207,10,20160407,1,97,eor,Sommergerste
183,2016,10,207,12,20160417,1,107,eor,Sommergerste
183,2016,10,207,15,20160605,1,156,eor,Sommergerste
183,2016,10,207,18,20160626,1,177,eor,Sommergerste
183,2016,10,207,21,20160729,1,210,eor,Sommergerste
183,2016,10,207,24,20160810,1,222,eor,Sommergerste
183,2018,10,207,10,20180417,1,107,eor,Sommergerste
183,2018,10,207,12,20180427,1,117,eor,Sommergerste
183,2018,10,207,15,20180529,1,149,eor,Sommergerste
183,2018,10,207,18,20180611,1,162,eor,Sommergerste
183,2018,10,207,21,20180705,1,186,eor,Sommergerste
183,2018,10,207,24,20180720,1,201,eor,Sommergerste
662,2015,10,207,10,20150313,1,72,eor,Sommergerste
662,2015,10,207,12,20150401,1,91,eor,Sommergerste
662,2015,10,207,15,20150511,1,131,eor,Sommergerste
662,2015,10,207,18,20150605,1,156,eor,Sommergerste
662,2015,10,207,21,20150717,1,198,eor,Sommergerste
662,2015,10,207,24,20150804,1,216,eor,Sommergerste
662,2016,10,207,10,20160323,1,82,eor,Sommergerste
662,2016,10,207,12,20160405,1,95,eor,Sommergerste
662,2016,10,207,15,20160513,1,133,eor,Sommergerste
662,2016,10,207,18,20160603,1,154,eor,Sommergerste
662,2016,10,207,21,20160711,1,192,eor,Sommergerste
662,2016,10,207,24,20160720,1,201,eor,Sommergerste
662,2018,10,207,10,20180410,1,100,eor,Sommergerste
662,2018,10,207,12,20180417,1,107,eor,Sommergerste
662,2018,10,207,15,20180514,1,134,eor,Sommergerste
662,2018,10,207,18,20180529,1,149,eor,Sommergerste
662,2018,10,207,21,20180702,1,183,eor,Sommergerste
662,2018,10,207,24,20180704,1,185,eor,Sommergerste
717,2014,10,207,10,20140321,1,80,eor,Sommergerste
717,2014,10,207,12,20140404,1,94,eor,Sommergerste
717,2014,10,207,15,20140610,1,161,eor,Sommergerste
717,2014,10,207,18,20140616,1,167,eor,Sommergerste
717,2014,10,207,21,20140808,1,220,eor,Sommergerste
717,2014,10,207,24,20140904,1,247,eor,Sommergerste
717,2015,10,207,10,20150412,1,102,eor,Sommergerste
717,2015,10,207,12,20150427,1,117,eor,Sommergerste
717,2015,10,207,15,20150613,1,164,eor,Sommergerste
717,2015,10,207,18,20150704,1,185,eor,Sommergerste
717,2015,10,207,21,20150807,1,219,eor,Sommergerste
717,2015,10,207,24,20150813,1,225,eor,Sommergerste
717,2016,10,207,10,20160412,1,102,eor,Sommergerste
717,2016,10,207,12,20160504,1,124,eor,Sommergerste
717,2016,10,207,15,20160610,1,161,eor,Sommergerste
717,2016,10,207,18,20160623,1,174,eor,Sommergerste
717,2016,10,207,21,20160720,1,201,eor,Sommergerste
717,2016,10,207,24,20160819,1,231,eor,Sommergerste
717,2017,10,207,10,20170405,1,95,eor,Sommergerste
717,2017,10,207,12,20170420,1,110,eor,Sommergerste
717,2017,10,207,15,20170607,1,158,eor,Sommergerste
717,2017,10,207,18,20170614,1,165,eor,Sommergerste
717,2017,10,207,21,20170730,1,211,eor,Sommergerste
717,2017,10,207,24,20170807,1,219,eor,Sommergerste
717,2018,10,207,10,20180411,1,101,eor,Sommergerste
717,2018,10,207,12,20180425,1,115,eor,Sommergerste
717,2018,10,207,15,20180605,1,156,eor,Sommergerste
717,2018,10,207,18,20180615,1,166,eor,Sommergerste
717,2018,10,207,21,20180723,1,204,eor,Sommergerste
717,2018,10,207,24,20180727,1,208,eor,Sommergerste
717,2019,10,207,10,20190409,1,99,eor,Sommergerste
717,2019,10,207,12,20190429,1,119,eor,Sommergerste
717,2019,10,207,15,20190615,1,166,eor,Sommergerste
717,2019,10,207,18,20190625,1,176,eor,Sommergerste
717,2019,10,207,21,20190804,1,216,eor,Sommergerste
717,2019,10,207,24,20190814,1,226,eor,Sommergerste
853,2014,10,207,10,20140312,1,71,eor,Sommergerste
853,2014,10,207,12,20140328,1,87,eor,Sommergerste
853,2014,10,207,15,20140509,1,129,eor,Sommergerste
853,2014,10,207,18,20140530,1,150,eor,Sommergerste
853,2014,10,207,21,20140707,1,188,eor,Sommergerste
853,2014,10,207,24,20140801,1,213,eor,Sommergerste
853,2016,10,207,10,20160407,1,97,eor,Sommergerste
853,2016,10,207,12,20160418,1,108,eor,Sommergerste
853,2016,10,207,15,20160527,1,147,eor,Sommergerste
853,2016,10,207,18,20160613,1,164,eor,Sommergerste
853,2016,10,207,21,20160725,1,206,eor,Sommergerste
853,2016,10,207,24,20160816,1,228,eor,Sommergerste
853,2017,10,207,10,20170331,1,90,eor,Sommergerste
853,2017,10,207,12,20170411,1,101,eor,Sommergerste
853,2017,10,207,15,20170524,1,144,eor,Sommergerste
853,2017,10,207,18,20170609,1,160,eor,Sommergerste
853,2017,10,207,21,20170729,1,210,eor,Sommergerste
853,2017,10,207,24,20170809,1,221,eor,Sommergerste
853,2018,10,207,10,20180412,1,102,eor,Sommergerste
853,2018,10,207,12,20180419,1,109,eor,Sommergerste
853,2018,10,207,15,20180521,1,141,eor,Sommergerste
853,2018,10,207,18,20180605,1,156,eor,Sommergerste
853,2018,10,207,21,20180725,1,206,eor,Sommergerste
853,2018,10,207,24,20180802,1,214,eor,Sommergerste
1133,2014,10,207,10,20140320,1,79,eor,Sommergerste
1133,2014,10,207,12,20140418,1,108,eor,Sommergerste
1133,2014,10,207,15,20140429,1,119,eor,Sommergerste
1133,2014,10,207,18,20140521,1,141,eor,Sommergerste
1133,2014,10,207,21,20140628,1,179,eor,Sommergerste
1133,2014,10,207,24,20140704,1,185,eor,Sommergerste
1133,2015,10,207,10,20150327,1,86,eor,Sommergerste
1133,2015,10,207,12,20150422,1,112,eor,Sommergerste
1133,2015,10,207,15,20150501,1,121,eor,Sommergerste
1133,2015,10,207,18,20150622,1,173,eor,Sommergerste
1133,2015,10,207,21,20150711,1,192,eor,Sommergerste
1133,2015,10,207,24,20150730,1,211,eor,Sommergerste
1133,2016,10,207,10,20160401,1,91,eor,Sommergerste
1133,2016,10,207,12,20160412,1,102,eor,Sommergerste
1133,2016,10,207,15,20160429,1,119,eor,Sommergerste
1133,2016,10,207,18,20160605,1,156,eor,Sommergerste
1133,2016,10,207,21,20160629,1,180,eor,Sommergerste
1133,2016,10,207,24,20160718,1,199,eor,Sommergerste
1412,2014,10,207,10,20140315,1,74,eor,Sommergerste
1412,2014,10,207,12,20140323,1,82,eor,Sommergerste
1412,2014,10,207,15,20140507,1,127,eor,Sommergerste
1412,2014,10,207,18,20140602,1,153,eor,Sommergerste
1412,2014,10,207,21,20140729,1,210,eor,Sommergerste
1412,2014,10,207,24,20140809,1,221,eor,Sommergerste
1412,2015,10,207,10,20150410,1,100,eor,Sommergerste
1412,2015,10,207,12,20150420,1,110,eor,Sommergerste
1412,2015,10,207,15,20150515,1,135,eor,Sommergerste
1412,2015,10,207,18,20150616,1,167,eor,Sommergerste
1412,2015,10,207,21,20150726,1,207,eor,Sommergerste
1412,2015,10,207,24,20150806,1,218,eor,Sommergerste
1412,2016,10,207,10,20160329,1,88,eor,Sommergerste
1412,2016,10,207,12,20160411,1,101,eor,Sommergerste
1412,2016,10,207,15,20160521,1,141,eor,Sommergerste
1412,2016,10,207,18,20160609,1,160,eor,Sommergerste
1412,2016,10,207,21,20160726,1,207,eor,Sommergerste
1412,2016,10,207,24,20160815,1,227,eor,Sommergerste
1412,2017,10,207,10,20170330,1,89,eor,Sommergerste
1412,2017,10,207,12,20170410,1,100,eor,Sommergerste
1412,2017,10,207,15,20170516,1,136,eor,Sommergerste
1412,2017,10,207,18,20170606,1,157,eor,Sommergerste
1412,2017,10,207,21,20170616,1,167,eor,Sommergerste
1412,2017,10,207,24,20170731,1,212,eor,Sommergerste
1532,2018,10,207,10,20180404,1,94,eor,Sommergerste
1532,2018,10,207,12,20180416,1,106,eor,Sommergerste
1532,2018,10,207,15,20180509,1,129,eor,Sommergerste
1532,2018,10,207,18,20180528,1,148,eor,Sommergerste
1532,2018,10,207,21,20180710,1,191,eor,Sommergerste
1532,2018,10,207,24,20180726,1,207,eor,Sommergerste
1612,2014,10,207,10,20140309,1,68,eor,Sommergerste
1612,2014,10,207,12,20140324,1,83,eor,Sommergerste
1757,2014,10,207,10,20140416,1,106,eor,Sommergerste
1757,2014,10,207,12,20140424,1,114,eor,Sommergerste
1757,2014,10,207,15,20140527,1,147,eor,Sommergerste
1757,2014,10,207,18,20140612,1,163,eor,Sommergerste
1757,2014,10,207,21,20140724,1,205,eor,Sommergerste
1757,2014,10,207,24,20140806,1,218,eor,Sommergerste
1757,2018,10,207,10,20180508,1,128,eor,Sommergerste
1757,2018,10,207,12,20180513,1,133,eor,Sommergerste
1757,2018,10,207,24,20180807,1,219,eor,Sommergerste
1780,2014,10,207,10,20140329,1,88,eor,Sommergerste
1780,2014,10,207,12,20140403,1,93,eor,Sommergerste
1780,2014,10,207,15,20140507,1,127,eor,Sommergerste
1780,2014,10,207,18,20140524,1,144,eor,Sommergerste
1780,2014,10,207,21,20140810,1,222,eor,Sommergerste
1780,2014,10,207,24,20140821,1,233,eor,Sommergerste
1780,2015,10,207,10,20150328,1,87,eor,Sommergerste
1780,2015,10,207,12,20150419,1,109,eor,Sommergerste
1780,2015,10,207,15,20150523,1,143,eor,Sommergerste
1780,2015,10,207,18,20150608,1,159,eor,Sommergerste
1780,2015,10,207,21,20150729,1,210,eor,Sommergerste
1780,2015,10,207,24,20150803,1,215,eor,Sommergerste
1780,2016,10,207,10,20160404,1,94,eor,Sommergerste
1780,2016,10,207,12,20160424,1,114,eor,Sommergerste
1780,2016,10,207,15,20160528,1,148,eor,Sommergerste
1780,2016,10,207,18,20160611,1,162,eor,Sommergerste
1780,2016,10,207,21,20160806,1,218,eor,Sommergerste
1780,2016,10,207,24,20160813,1,225,eor,Sommergerste
1780,2017,10,207,10,20170330,1,89,eor,Sommergerste
1780,2017,10,207,12,20170412,1,102,eor,Sommergerste
1780,2017,10,207,15,20170522,1,142,eor,Sommergerste
1780,2017,10,207,18,20170607,1,158,eor,Sommergerste
1780,2017,10,207,21,20170713,1,194,eor,Sommergerste
1780,2017,10,207,24,20170807,1,219,eor,Sommergerste
1780,2018,10,207,10,20180414,1,104,eor,Sommergerste
1780,2018,10,207,12,20180414,1,104,eor,Sommergerste
1780,2018,10,207,15,20180506,1,126,eor,Sommergerste
1780,2018,10,207,18,20180530,1,150,eor,Sommergerste
1780,2018,10,207,21,20180630,1,181,eor,Sommergerste
1780,2018,10,207,24,20180707,1,188,eor,Sommergerste
1780,2019,10,207,10,20190402,1,92,eor,Sommergerste
1780,2019,10,207,12,20190417,1,107,eor,Sommergerste
1780,2019,10,207,15,20190520,1,140,eor,Sommergerste
1780,2019,10,207,18,20190627,1,178,eor,Sommergerste
1780,2019,10,207,21,20190720,1,201,eor,Sommergerste
1780,2019,10,207,24,20190722,1,203,eor,Sommergerste
1820,2014,10,207,10,20140226,1,57,eor,Sommergerste
1820,2014,10,207,12,20140318,1,77,eor,Sommergerste
1820,2014,10,207,15,20140501,1,121,eor,Sommergerste
1820,2014,10,207,18,20140528,1,148,eor,Sommergerste
1820,2014,10,207,21,20140716,1,197,eor,Sommergerste
1820,2014,10,207,24,20140806,1,218,eor,Sommergerste
2667,2018,10,207,15,20180405,1,95,eor,Sommergerste
3023,2019,10,207,10,20190404,1,94,eor,Sommergerste
3023,2019,10,207,15,20190518,1,138,eor,Sommergerste
3023,2019,10,207,18,20190612,1,163,eor,Sommergerste
3023,2019,10,207,21,20190711,1,192,eor,Sommergerste
3023,2019,10,207,24,20190713,1,194,eor,Sommergerste
3196,2016,10,207,10,20160405,1,95,eor,Sommergerste
3196,2016,10,207,12,20160422,1,112,eor,Sommergerste
3196,2016,10,207,18,20160623,1,174,eor,Sommergerste
3196,2016,10,207,21,20160714,1,195,eor,Sommergerste
3196,2016,10,207,24,20160809,1,221,eor,Sommergerste
3196,2017,10,207,10,20170327,1,86,eor,Sommergerste
3196,2017,10,207,12,20170423,1,113,eor,Sommergerste
3196,2017,10,207,15,20170520,1,140,eor,Sommergerste
3196,2017,10,207,18,20170617,1,168,eor,Sommergerste
3196,2017,10,207,21,20170713,1,194,eor,Sommergerste
3196,2017,10,207,24,20170807,1,219,eor,Sommergerste
3660,2015,10,207,10,20150326,1,85,eor,Sommergerste
3660,2015,10,207,12,20150409,1,99,eor,Sommergerste
3660,2015,10,207,15,20150504,1,124,eor,Sommergerste
3660,2015,10,207,18,20150616,1,167,eor,Sommergerste
3660,2015,10,207,21,20150804,1,216,eor,Sommergerste
3660,2015,10,207,24,20150807,1,219,eor,Sommergerste
3660,2016,10,207,10,20160316,1,75,eor,Sommergerste
3660,2016,10,207,12,20160406,1,96,eor,Sommergerste
