iso-date,tmin,tavg,tmax,precip,relhumid,globrad,wind
[],[°C],[°C],[°C],[mm],[%],[MJ m-2],[m s-1]
1951-01-01,-10.7,-5.9,-0.7,0.0,93.2,1.4688,2.3
1951-01-02,-0.7,0.5,1.5,0.0,99.1,1.1491,4.6
1951-01-03,-0.3,2.4,3.5,5.32,99.2,1.1059,4.0
1951-01-04,-2.2,-0.6,0.6,0.1,92.8,1.201,4.5
1951-01-05,-3.3,-0.2,1.5,5.53,92.3,1.0627,5.1
1951-01-06,0.5,2.2,3.8,1.21,93.2,1.0195,3.7
1951-01-07,2.2,3.6,5.2,0.9,89.6,1.3133,4.1
1951-01-08,3.2,6.8,10.1,3.21,95.6,0.9331,4.4
1951-01-09,5.9,8.7,10.4,0.0,80.4,1.0454,5.1
1951-01-10,0.5,5.9,7.9,1.21,86.9,0.985,4.0
1951-01-11,0.8,2.6,5.1,0.2,85.3,2.0477,4.0
1951-01-12,1.2,2.9,5.3,0.0,93.7,1.1491,0.9
1951-01-13,0.2,0.5,2.6,0.0,87.2,2.3933,2.1
1951-01-14,-2.9,-0.5,1.1,0.0,85.8,1.2096,2.2
1951-01-15,-3.9,-0.1,1.8,0.0,99.2,1.6589,2.3
1951-01-16,-1.0,0.2,1.3,0.0,82.4,2.713,2.0
1951-01-17,-4.2,-0.7,1.7,0.0,90.7,2.9722,2.9
1951-01-18,1.4,2.5,3.2,1.11,92.9,2.1254,4.8
1951-01-19,0.8,1.3,2.8,0.0,85.6,2.4278,6.0
1951-01-20,2.3,4.3,6.1,0.0,91.7,1.2096,3.4
1951-01-21,0.5,2.4,4.6,0.0,86.5,1.5552,1.9
1951-01-22,-3.1,0.1,2.4,0.0,84.0,3.2227,1.0
1951-01-23,-4.0,-1.4,0.3,0.0,93.9,1.0022,1.6
1951-01-24,-0.1,1.8,2.8,1.41,96.3,1.2269,1.4
1951-01-25,1.9,2.5,3.4,1.0,96.9,1.0022,0.3
1951-01-26,-0.4,1.0,2.0,0.0,87.6,4.3718,2.4
1951-01-27,0.1,1.4,4.7,0.0,95.0,4.5014,2.4
1951-01-28,-2.3,-0.3,0.9,0.0,87.5,1.0541,2.5
1951-01-29,0.1,1.8,3.5,0.0,90.1,1.2355,0.6
1951-01-30,2.0,3.0,5.4,0.0,88.7,3.0845,1.9
1951-01-31,-0.2,3.7,5.6,0.0,89.7,1.0973,1.9
1951-02-01,-3.6,-1.4,0.2,0.0,87.4,2.0822,3.0
1951-02-02,-4.1,-2.3,0.1,0.0,87.6,2.3242,4.1
1951-02-03,-5.4,-2.7,-0.2,0.0,86.4,2.3328,3.1
1951-02-04,-4.1,-1.0,2.0,0.0,87.7,3.2141,1.9
1951-02-05,-2.4,0.2,4.0,0.0,80.3,3.0067,2.7
1951-02-06,-2.7,-0.1,0.9,0.0,96.6,1.7885,4.0
1951-02-07,-1.0,-0.2,1.2,3.62,96.2,1.6934,3.3
1951-02-08,0.5,0.9,1.9,0.2,95.3,1.5898,1.5
1951-02-09,-5.3,-0.6,2.2,6.93,83.7,2.7043,2.1
1951-02-10,-6.8,-4.5,-2.1,1.31,88.7,2.4624,4.4
1951-02-11,-10.7,-5.5,-3.4,0.0,84.5,3.8621,2.6
1951-02-12,-10.7,-8.6,-4.8,0.0,76.2,7.0502,3.2
1951-02-13,-11.0,-9.6,-4.1,0.0,79.3,3.5338,6.0
1951-02-14,-12.4,-7.7,-2.7,0.0,80.1,7.6118,1.5
1951-02-15,-13.8,-8.7,-4.2,0.0,80.3,6.8342,3.4
1951-02-16,-16.3,-8.8,-4.5,0.0,79.6,7.4131,4.2
1951-02-17,-10.1,-1.6,1.3,4.42,88.7,3.2141,4.6
1951-02-18,0.3,2.3,5.0,0.0,91.8,6.9293,5.5
1951-02-19,1.7,2.8,3.3,0.1,93.7,1.5725,5.4
1951-02-20,-1.3,0.2,1.4,11.85,89.9,2.3242,6.5
1951-02-21,-3.9,-1.4,2.1,0.8,74.9,5.305,5.4
1951-02-22,-5.2,-2.6,1.0,0.0,82.3,5.521,3.9
1951-02-23,-5.1,-2.3,0.6,0.0,86.4,3.361,3.6
1951-02-24,-5.0,-2.3,1.1,0.0,82.8,9.2707,1.7
1951-02-25,-6.9,-1.9,2.5,0.0,79.7,5.3482,3.2
1951-02-26,0.5,2.3,3.5,1.21,100.0,1.5811,3.6
1951-02-27,3.6,4.6,5.5,1.11,100.0,1.5984,0.3
1951-02-28,1.5,4.0,5.7,0.0,84.2,4.7261,1.9
1951-03-01,-0.5,0.8,2.3,2.91,96.8,3.3955,3.6
1951-03-02,-1.7,1.2,4.3,0.0,75.5,7.8192,1.1
1951-03-03,-2.0,0.5,3.8,0.0,75.7,7.223,0.7
1951-03-04,-2.8,0.3,2.4,0.0,71.1,8.3117,0.4
1951-03-05,-3.7,-0.1,3.6,0.0,88.2,5.8838,2.3
1951-03-06,-3.6,-0.9,0.9,1.11,91.3,3.4819,2.4
1951-03-07,-3.1,0.2,2.4,3.92,73.3,8.4499,1.8
1951-03-08,-1.7,0.1,4.4,2.71,75.3,9.936,1.7
1951-03-09,-2.5,1.5,4.8,0.0,73.5,9.2534,2.1
1951-03-10,-1.3,1.4,4.1,0.0,81.4,9.4522,3.1
1951-03-11,-2.7,1.5,5.6,0.0,78.2,9.5126,3.3
1951-03-12,2.7,5.0,8.3,1.21,93.7,3.2314,4.8
1951-03-13,-0.7,4.9,5.3,1.61,94.4,3.2054,5.4
1951-03-14,-0.1,1.8,5.3,0.0,76.1,9.3485,6.0
1951-03-15,-0.0,5.1,9.6,0.0,82.9,7.3008,6.8
1951-03-16,0.1,4.3,5.3,4.02,77.8,5.1062,6.1
1951-03-17,-0.4,0.9,3.2,2.01,82.7,3.6979,5.0
1951-03-18,-2.4,1.1,4.9,0.0,78.6,9.6682,2.4
1951-03-19,0.4,4.5,11.1,13.16,89.2,3.7152,5.8
1951-03-20,0.6,3.4,6.0,0.0,66.4,13.2278,5.5
1951-03-21,-3.0,3.0,8.8,3.32,60.3,11.7763,3.8
1951-03-22,3.9,7.0,13.2,9.44,88.6,4.9075,3.9
1951-03-23,0.2,5.6,10.3,0.0,79.4,10.0483,2.7
1951-03-24,4.7,6.5,10.4,1.81,74.7,11.016,3.2
1951-03-25,3.8,5.2,6.4,5.32,93.1,3.2659,2.7
1951-03-26,3.8,5.4,7.1,0.0,84.5,4.0349,1.9
1951-03-27,-0.7,3.8,6.6,0.0,72.7,13.392,2.2
1951-03-28,-2.4,1.9,8.1,0.0,72.9,15.5347,3.5
1951-03-29,-2.4,2.1,8.3,0.0,70.6,17.3318,3.7
1951-03-30,-3.4,1.5,7.4,0.0,71.8,17.7811,4.5
1951-03-31,-4.0,3.4,11.3,0.0,79.9,17.8243,3.3
