Stations_id,lat,long,crop,avg.sowing.doy,values_sowing,avg. harvest.doy,values_harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
140,52.6861,11.4272,SB,79,51,218,29,54,105,205,234
164,53.0316,13.9908,SB,74,34,219,20,60,94,207,227
183,54.6792,13.4343,SB,82,38,224,28,64,102,213,241
198,51.3745,11.292,SB,62,64,220,35,22,86,199,234
222,50.5907,12.714,SB,83,40,228,27,59,99,214,241
591,53.3911,10.6878,SB,70,28,234,19,61,89,224,243
596,54.0028,11.1908,SB,78,39,225,35,56,95,213,248
640,50.8685,12.7237,SB,75,30,230,25,60,90,220,245
662,52.2915,10.4464,SB,71,38,213,24,54,92,201,225
717,51.3873,8.5737,SB,81,38,239,46,66,104,219,265
735,52.1692,12.7334,SB,70,38,221,20,50,88,211,231
822,51.2066,14.2371,SB,84,43,228,32,54,97,208,240
853,50.7913,12.872,SB,74,27,226,24,57,84,213,237
882,50.7813,10.786,SB,70,50,234,37,42,92,215,252
1133,52.1014,11.2322,SB,73,53,215,46,47,100,185,231
1246,51.8418,8.0607,SB,89,39,213,34,76,115,200,234
1412,50.8969,13.2205,SB,74,26,223,27,60,86,212,239
1532,53.6865,11.0608,SB,86,7,230,15,83,90,222,237
1612,50.8813,12.1289,SB,65,37,225,13,45,82,217,230
1684,51.1622,14.9506,SB,71,0,226,14,71,71,220,234
1691,51.5002,9.9507,SB,78,37,223,31,60,97,212,243
1757,54.0967,13.4056,SB,76,34,222,29,58,92,207,236
1780,50.4316,11.9443,SB,76,7,223,18,73,80,215,233
1820,50.85,11.6667,SB,65,42,224,40,41,83,204,244
2163,51.5448,10.8748,SB,66,50,236,22,40,90,223,245
2261,50.3122,11.8761,SB,82,33,222,34,61,94,203,237
2468,50.9352,12.6206,SB,66,44,221,21,40,84,211,232
2514,54.6667,9.9333,SB,90,19,225,18,81,100,218,236
2561,49.7167,8.1167,SB,68,28,217,21,54,82,206,227
2878,51.391,11.8788,SB,66,43,219,12,40,83,214,226
2925,51.3933,10.3123,SB,92,0,239,0,92,92,239,239
2932,51.4348,12.2396,SB,69,43,217,16,47,90,209,225
2995,52.8719,13.3927,SB,70,28,219,17,55,83,209,226
3015,52.2085,14.118,SB,59,0,217,0,59,59,217,217
3023,52.5181,7.3081,SB,84,30,219,22,73,103,211,233
3158,52.5468,14.5452,SB,91,0,224,0,91,91,224,224
3196,53.3223,11.9319,SB,76,9,220,2,72,81,219,221
3302,51.0418,11.0062,SB,62,54,212,24,26,80,200,224
3314,52.1458,11.9563,SB,72,36,213,32,61,97,198,230
3347,51.7384,9.7899,SB,73,37,224,27,56,93,211,238
3487,51.607,11.1183,SB,84,42,241,32,59,101,221,253
3491,50.441,11.2401,SB,86,0,237,0,86,86,237,237
3552,52.9037,12.8072,SB,80,0,209,23,80,80,202,225
3637,51.5158,10.7739,SB,78,30,223,38,64,94,201,239
3660,50.3601,6.8697,SB,64,10,219,14,61,71,212,226
3684,51.2873,11.0183,SB,50,31,224,26,36,67,205,231
3750,48.0579,9.9479,SB,76,0,231,0,76,76,231,231
3815,52.2553,8.0534,SB,78,48,217,32,57,105,201,233
4039,53.7331,9.8776,SB,83,52,222,72,53,105,186,258
4079,51.1765,11.4183,SB,70,40,221,24,42,82,206,230
4271,54.1803,12.0808,SB,72,0,229,10,72,72,224,234
4372,50.8063,10.2294,SB,72,25,224,28,60,85,210,238
4466,54.5275,9.5487,SB,75,31,221,30,61,92,204,234
4625,53.6425,11.3872,SB,76,21,221,41,67,88,204,245
4642,52.8911,11.7297,SB,66,18,206,29,57,75,188,217
4768,50.6574,9.9135,SB,92,11,231,13,87,98,223,236
4887,48.6657,9.8646,SB,74,39,224,30,56,95,210,240
4933,48.7091,9.2147,SB,70,30,214,31,54,84,198,229
4983,50.8619,11.2453,SB,70,17,220,30,59,76,206,236
5100,49.7479,6.6582,SB,76,33,219,17,60,93,210,227
5103,49.3544,7.7948,SB,78,15,235,8,69,84,231,239
5142,53.7444,14.0697,SB,74,27,222,10,60,87,215,225
5250,48.0908,7.6353,SB,63,23,195,24,52,75,185,209
5404,48.4025,11.6946,SB,69,29,213,24,55,84,203,227
5440,49.0116,10.9308,SB,71,26,218,18,57,83,211,229
5546,52.1207,12.4585,SB,65,28,212,29,55,83,201,230
5629,51.8892,12.6445,SB,74,41,213,14,50,91,205,219
5705,49.7703,9.9577,SB,70,29,220,8,56,85,216,224
5750,51.0314,12.1495,SB,71,34,215,27,50,84,207,234
7509,54.4333,9.7,SB,88,34,236,21,63,97,227,248
7513,54.6167,9.9833,SB,97,0,235,0,97,97,235,235
7516,54.4,9.9667,SB,82,37,231,30,62,99,216,246
7518,54.4,9.85,SB,91,9,218,19,88,97,207,226
7521,54.4333,9.8167,SB,82,1,226,15,82,83,217,232
7522,54.3667,10.0333,SB,89,10,228,0,83,93,228,228
7526,54.4333,10.05,SB,88,20,234,7,78,98,231,238
7528,54.55,9.8167,SB,82,8,228,13,79,87,222,235
7529,54.4833,10.1167,SB,102,15,246,13,93,108,239,252
7532,54.4,8.7667,SB,101,0,240,0,101,101,240,240
7536,54.0167,10.5667,SB,78,59,228,49,46,105,196,245
7544,54.1833,10.55,SB,82,36,230,25,64,100,221,246
7546,53.95,10.7333,SB,93,41,225,28,65,106,216,244
7554,54.7333,9.5667,SB,82,15,228,13,75,90,221,234
7555,54.7,9.55,SB,79,39,241,33,59,98,221,254
7557,54.6167,9.3667,SB,86,29,227,16,73,102,220,236
7559,54.75,9.9,SB,89,23,236,24,76,99,223,247
7563,54.7667,9.3167,SB,84,30,230,24,69,99,219,243
7565,54.7333,9.1,SB,88,20,223,31,74,94,212,243
7566,54.75,9.5167,SB,88,24,232,38,74,98,219,257
7568,54.7333,9.5,SB,95,13,244,20,88,101,230,250
7579,54.7667,9.1667,SB,75,35,222,26,61,96,207,233
7580,54.7167,9.6833,SB,89,26,246,0,75,101,246,246
7582,54.7333,9.7333,SB,100,0,227,12,100,100,222,234
7584,54.8,9.65,SB,93,5,240,27,90,95,228,255
7586,54.6833,9.3333,SB,75,21,220,48,62,83,195,243
7592,53.4833,10.6333,SB,92,24,223,32,81,105,211,243
7593,53.6833,10.5667,SB,85,23,240,19,73,96,231,250
7601,53.6167,10.7,SB,69,31,220,14,53,84,215,229
7605,53.75,10.6167,SB,92,14,229,25,87,101,214,239
7608,53.5,10.4833,SB,82,23,229,27,71,94,218,245
7610,53.45,10.55,SB,76,0,225,0,76,76,225,225
7616,54.6167,8.9667,SB,90,19,228,28,79,98,216,244
7620,54.4167,9.25,SB,93,27,230,11,77,104,225,236
7623,54.6667,9.1333,SB,85,46,220,42,60,106,204,246
7624,54.5167,8.65,SB,88,49,223,40,63,112,203,243
7635,54.25,9.1833,SB,86,19,224,27,76,95,212,239
7646,54.25,10.8333,SB,84,45,237,29,66,111,223,252
7650,54.1,10.8167,SB,82,41,234,19,56,97,228,247
7660,53.7,9.8,SB,86,20,227,32,74,94,214,246
7662,53.7333,9.7833,SB,75,9,222,29,72,81,205,234
7669,53.8167,9.7833,SB,85,31,225,45,71,102,206,251
7676,54.1167,10.4833,SB,89,25,226,3,72,97,224,227
7684,54.3567,10.182,SB,81,12,227,18,75,87,221,239
7686,54.3167,10.2167,SB,93,25,233,4,81,106,231,235
7693,54.2833,10.2333,SB,86,26,232,44,66,92,215,259
7696,54.1,10.2,SB,73,46,224,5,52,98,222,227
7700,54.1667,10.05,SB,80,23,229,0,69,92,229,229
7703,54.2,9.75,SB,92,26,228,9,84,110,224,233
7706,54.25,9.55,SB,90,19,225,29,78,97,215,244
7707,54.3,9.6,SB,85,9,229,23,80,89,217,240
7709,54.2333,9.5167,SB,82,24,216,16,69,93,211,227
7711,54.0833,9.65,SB,84,52,221,28,51,103,206,234
7712,54.3,9.5,SB,84,23,227,14,74,97,219,233
7713,54.2333,9.6667,SB,68,12,221,4,62,74,219,223
7714,54.05,9.7,SB,91,24,238,23,80,104,231,254
7715,54.1667,9.85,SB,83,18,223,33,75,93,208,241
7716,54.3,9.6667,SB,91,8,230,17,86,94,221,238
7717,54.3167,9.7,SB,88,11,249,0,83,94,249,249
