Stations_id,lat,long,crop,avg.sowing.doy,values_sowing,avg. harvest.doy,values_harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
140,52.6861,11.4272,SB,107,51,218,29,82,133,205,234
164,53.0316,13.9908,SB,102,34,219,20,88,122,207,227
183,54.6792,13.4343,SB,110,38,224,28,92,130,213,241
198,51.3745,11.292,SB,90,64,220,35,50,114,199,234
222,50.5907,12.714,SB,111,40,228,27,87,127,214,241
591,53.3911,10.6878,SB,98,28,234,19,89,117,224,243
596,54.0028,11.1908,SB,106,39,225,35,84,123,213,248
640,50.8685,12.7237,SB,103,30,230,25,88,118,220,245
662,52.2915,10.4464,SB,99,38,213,24,82,120,201,225
717,51.3873,8.5737,SB,109,38,239,46,94,132,219,265
735,52.1692,12.7334,SB,98,38,221,20,78,116,211,231
822,51.2066,14.2371,SB,112,43,228,32,82,125,208,240
853,50.7913,12.872,SB,102,27,226,24,85,112,213,237
882,50.7813,10.786,SB,98,50,234,37,70,120,215,252
1133,52.1014,11.2322,SB,101,53,215,46,75,128,185,231
1246,51.8418,8.0607,SB,117,39,213,34,104,143,200,234
1412,50.8969,13.2205,SB,102,26,223,27,88,114,212,239
1532,53.6865,11.0608,SB,114,7,230,15,111,118,222,237
1612,50.8813,12.1289,SB,93,37,225,13,73,110,217,230
1684,51.1622,14.9506,SB,99,0,226,14,99,99,220,234
1691,51.5002,9.9507,SB,106,37,223,31,88,125,212,243
1757,54.0967,13.4056,SB,104,34,222,29,86,120,207,236
1780,50.4316,11.9443,SB,104,7,223,18,101,108,215,233
1820,50.85,11.6667,SB,93,42,224,40,69,111,204,244
2163,51.5448,10.8748,SB,94,50,236,22,68,118,223,245
2261,50.3122,11.8761,SB,110,33,222,34,89,122,203,237
2468,50.9352,12.6206,SB,94,44,221,21,68,112,211,232
2514,54.6667,9.9333,SB,118,19,225,18,109,128,218,236
2561,49.7167,8.1167,SB,96,28,217,21,82,110,206,227
