climate station,lat,long,crop,avg sowing doy,# values sowing,avg harvest doy,# values harvest,earliest sowing doy,latest sowing doy,earliest harvest doy,latest harvest doy
12833,51.1167,13.1833,SBee,92,16,295,16,73,106,271,312
12860,50.9833,13.6833,SBee,91,12,297,12,74,101,286,303
12865,50.9667,13.7333,SBee,80,6,286,6,74,97,272,307
12873,50.8667,12.45,SBee,81,15,281,15,68,92,271,295
12879,51.2667,15.0333,SBee,91,16,287,16,80,101,256,319
12881,51.0333,14.95,SBee,79,9,270,9,72,96,263,293
12883,51.1167,12.8,SBee,85,12,278,12,71,101,262,291
12917,50.9833,14.8,SBee,85,11,286,11,72,98,262,305
12921,51.1,14.65,SBee,86,4,291,4,81,100,277,301
12937,51.2,13.4167,SBee,82,16,288,16,76,103,275,299
12940,51.15,13.45,SBee,88,15,285,13,78,108,270,303
12942,51.0667,13.2667,SBee,89,16,276,16,69,104,263,285
12971,50.9667,14.05,SBee,88,9,285,9,76,104,271,299
12987,51.05,12.9667,SBee,91,6,284,6,79,106,265,310
12994,51.0667,14.2167,SBee,105,5,293,5,101,109,278,302
13004,51.4833,13.1333,SBee,77,3,287,3,68,96,256,312
13005,51.65,12.8833,SBee,79,16,266,16,68,94,146,289
13018,51.3333,12.6167,SBee,88,16,291,16,75,105,279,303
13020,51.3667,12.6333,SBee,80,16,276,16,62,95,263,288
13021,51.4333,12.6833,SBee,85,16,288,16,71,107,272,305
13041,51.7667,11.4333,SBee,85,15,281,15,65,98,271,301
13046,51.7333,11.5,SBee,78,11,273,11,69,88,261,287
13047,51.7167,11.3,SBee,74,15,267,15,56,93,255,282
13051,51.7,11.65,SBee,89,5,267,4,79,101,263,276
13064,51.6,12.1167,SBee,72,3,275,3,68,75,263,296
13074,52.1333,11.8333,SBee,76,16,282,16,65,87,269,292
13082,51.4833,11.6333,SBee,73,16,295,16,56,93,278,316
13083,51.5333,11.7,SBee,75,16,264,16,63,94,248,278
13092,52.35,11.9833,SBee,81,6,272,6,73,92,267,279
13094,52.5,12.0333,SBee,93,16,269,16,85,100,257,286
13095,52.4833,12.2333,SBee,99,3,285,3,98,101,268,319
13101,51.6833,12.55,SBee,86,15,274,15,77,101,253,295
13102,51.8167,12.55,SBee,80,16,282,16,62,99,263,309
13115,51.9667,10.7167,SBee,77,16,258,16,57,94,253,268
13126,52.2,11.3333,SBee,80,16,271,16,62,99,251,302
13140,51.7333,13.0333,SBee,79,16,273,16,72,94,256,297
13158,52.6333,11.0833,SBee,79,16,270,15,64,91,259,282
13172,51.3167,12.1167,SBee,81,11,291,11,71,99,271,334
13182,51.1333,11.7333,SBee,85,5,274,5,78,92,251,306
13197,51.2333,11.8167,SBee,81,14,279,14,67,98,264,303
13198,52.0833,11.1167,SBee,79,16,266,16,63,97,255,278
13200,52.0167,11.2167,SBee,91,16,268,16,70,116,227,282
13212,52.7167,11.95,SBee,76,4,274,4,66,81,267,289
13214,52.7167,11.8333,SBee,77,5,313,5,65,91,279,328
13227,51.4,11.55,SBee,87,5,290,5,81,94,274,308
13240,51.45,11.7833,SBee,77,5,272,5,72,83,267,277
13243,52.85,11.3833,SBee,86,4,276,4,80,96,267,286
