climate station,lat,long,crop,avg sowing doy,# values sowing,avg harvest doy,# values harvest,earliest sowing doy,latest sowing doy,earliest harvest doy,latest harvest doy
140,52.6861,11.4272,SBee,114,15,299,15,87,127,279,320
183,54.6792,13.4343,SBee,116,11,286,12,105,126,263,317
640,50.8685,12.7237,SBee,114,6,294,6,105,130,277,314
662,52.2914,10.4465,SBee,112,16,281,16,100,127,260,295
822,51.2066,14.2371,SBee,116,8,279,9,108,129,257,293
1133,52.1014,11.2322,SBee,111,16,290,16,87,126,253,322
1532,53.6865,11.0608,SBee,111,16,280,16,94,127,257,305
1612,50.8813,12.1289,SBee,117,9,283,10,93,138,269,312
1684,51.1622,14.9506,SBee,121,6,289,5,106,132,283,294
1691,51.5003,9.9506,SBee,113,7,288,8,94,130,262,310
1957,51.5138,11.9499,SBee,111,6,269,7,107,120,256,288
2468,50.9352,12.6206,SBee,120,11,278,10,111,132,264,295
2514,54.6667,9.9333,SBee,117,7,290,7,97,139,271,309
2561,49.7167,8.1167,SBee,96,8,266,8,88,108,257,275
2667,50.8646,7.1575,SBee,109,5,274,5,90,127,251,296
2878,51.391,11.8788,SBee,109,5,282,5,103,115,280,285
2928,51.3151,12.4462,SBee,121,3,271,4,118,126,250,289
3126,52.1029,11.5827,SBee,117,16,277,16,95,137,260,293
3196,53.3223,11.9319,SBee,114,3,286,3,101,124,268,319
3302,51.0418,11.0062,SBee,106,5,272,5,97,116,266,279
3314,52.1458,11.9563,SBee,107,15,273,16,91,128,253,319
3478,53.5468,13.1914,SBee,111,4,270,4,108,115,268,275
3637,51.5158,10.7739,SBee,122,7,287,6,107,140,258,298
3684,51.2873,11.0183,SBee,105,16,285,16,95,121,260,314
3761,49.207,9.5175,SBee,110,6,283,6,92,131,268,302
3811,51.296,13.0928,SBee,116,6,271,5,104,132,261,276
4466,54.5275,9.5487,SBee,112,8,293,9,99,142,275,310
4642,52.8911,11.7297,SBee,114,8,289,7,99,158,269,308
5142,53.7444,14.0697,SBee,110,5,274,5,105,114,270,280
5404,48.4025,11.6946,SBee,107,8,288,8,93,118,269,302
5750,51.0314,12.1495,SBee,108,8,266,8,102,124,258,278
7504,54.3167,10.05,SBee,115,4,285,4,105,126,269,309
7559,54.75,9.9,SBee,106,5,290,5,97,118,279,303
7564,54.7167,9.95,SBee,118,8,288,8,100,130,266,319
7566,54.75,9.5167,SBee,109,16,279,16,85,130,259,302
7592,53.4833,10.6333,SBee,114,16,278,14,87,131,259,298
7601,53.6167,10.7,SBee,109,15,285,9,83,131,261,308
7604,53.7,10.7833,SBee,100,4,284,8,86,113,265,306
7605,53.75,10.6167,SBee,124,3,285,3,115,131,283,289
7608,53.5,10.4833,SBee,108,13,282,12,87,141,271,305
7616,54.6167,8.9667,SBee,109,14,286,14,97,134,264,305
7640,54.4333,11.2,SBee,107,4,271,4,99,114,263,274
7646,54.25,10.8333,SBee,111,16,282,16,91,129,265,290
7650,54.1,10.8167,SBee,114,9,286,9,102,128,262,296
7676,54.1167,10.4833,SBee,111,14,295,14,89,132,275,310
7682,54.3167,10.5,SBee,112,5,290,5,93,126,268,305
7684,54.3567,10.182,SBee,104,5,273,5,93,118,264,291
7700,54.1667,10.05,SBee,107,10,297,9,93,120,272,325
7704,54.3167,9.6667,SBee,108,3,281,3,105,113,263,303
7711,54.0833,9.65,SBee,115,13,312,15,97,127,283,343
7721,54.1167,9.4333,SBee,110,8,305,8,99,123,284,335
7730,54.6167,9.8333,SBee,112,16,291,16,104,125,263,309
7748,54.0667,10.2167,SBee,107,14,298,14,93,122,271,335
7761,54.0167,10.1667,SBee,119,9,298,9,104,133,254,353
7770,53.9333,10.2,SBee,115,14,293,13,93,129,255,338
7775,53.95,9.7167,SBee,121,13,299,15,106,137,285,318
7786,53.7333,10.2667,SBee,118,11,288,11,107,133,260,327
7798,53.8667,10.3333,SBee,106,6,284,6,88,121,260,298
7803,53.9,9.1,SBee,111,13,288,12,102,132,268,302
7807,54.15,9.0667,SBee,108,5,289,5,90,121,283,298
7812,53.9833,9.1167,SBee,108,16,308,16,93,125,287,332
7815,53.9667,9.0833,SBee,113,15,283,16,96,130,257,305
7849,52.7,8.5,SBee,104,5,276,5,92,119,255,319
7855,52.7667,8.75,SBee,102,9,302,9,93,113,269,326
7862,52.8,8.8333,SBee,114,11,293,9,105,146,257,336
7868,52.7833,9.1333,SBee,109,11,284,11,100,125,268,298
7872,52.9,8.5833,SBee,110,10,277,10,97,122,269,290
7881,52.85,9.1833,SBee,109,16,283,16,94,130,250,307
7883,52.1667,9.25,SBee,105,7,276,7,100,110,260,284
7890,52.2,9.2,SBee,111,13,285,13,90,136,256,307
7896,52.1333,9.25,SBee,114,12,274,16,102,134,251,300
7897,52.0667,9.2667,SBee,115,14,293,14,101,129,274,311
7900,51.9833,9.25,SBee,118,12,286,15,101,148,263,311
7906,52.3,9.7333,SBee,87,15,278,15,65,101,253,307
7910,52.3,9.5,SBee,120,16,287,16,100,137,256,308
7914,52.4,9.6333,SBee,109,5,259,4,99,121,250,271
7920,52.5333,9.4667,SBee,112,8,280,7,92,128,261,304
7922,52.3833,9.35,SBee,116,13,282,13,104,132,271,305
7923,52.4,9.45,SBee,107,15,265,16,87,118,249,282
7936,52.5667,9.1333,SBee,104,16,284,16,86,116,250,319
7946,52.7167,9.25,SBee,104,16,274,16,83,117,255,291
7951,52.4,9.1167,SBee,115,10,289,10,105,132,266,324
7956,52.45,9.4,SBee,111,16,299,16,100,125,280,324
7957,52.2333,9.1167,SBee,105,3,294,3,96,122,293,298
7963,52.2167,9.4,SBee,116,10,274,9,102,137,262,282
7965,52.1667,9.4333,SBee,115,16,287,16,101,138,264,311
7971,52.2667,9.7667,SBee,115,9,262,9,102,134,256,271
7977,51.5167,9.95,SBee,117,11,281,11,101,146,270,295
