Stations_id,lat,long,crop,avg.sowing.doy,values_sowing,avg. harvest.doy,values_harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
662,52.2915,10.4464,PO,112,37,189,18,95,132,179,197
1580,49.9859,7.9549,PO,115,0,187,0,115,115,187,187
1691,51.5002,9.9507,PO,121,0,185,23,121,121,174,197
2561,49.7167,8.1167,PO,117,0,184,8,117,117,181,189
3023,52.5181,7.3081,PO,122,26,187,21,106,132,180,201
3815,52.2553,8.0534,PO,111,50,191,37,86,136,172,209
4039,53.7331,9.8776,PO,109,41,193,21,89,130,182,203
4466,54.5275,9.5487,PO,115,27,187,21,100,127,174,195
5100,49.7479,6.6582,PO,129,16,202,17,121,137,195,212
5250,48.0908,7.6353,PO,118,0,173,0,118,118,173,173
5404,48.4025,11.6946,PO,120,19,191,40,109,128,160,200
5705,49.7703,9.9577,PO,121,11,194,9,114,125,189,198
7501,54.7833,9.4333,PO,128,0,200,2,128,128,199,201
7509,54.4333,9.7,PO,124,13,203,35,117,130,188,223
7516,54.4,9.9667,PO,121,24,191,25,106,130,178,203
7518,54.4,9.85,PO,119,0,208,14,119,119,201,215
7519,54.4167,9.8833,PO,139,9,218,0,135,144,218,218
7526,54.4333,10.05,PO,125,15,181,0,118,133,181,181
7528,54.55,9.8167,PO,128,20,186,13,120,140,179,192
7532,54.4,8.7667,PO,139,0,200,0,139,139,200,200
7536,54.0167,10.5667,PO,122,23,190,20,112,135,181,201
7537,54,10.4833,PO,124,0,197,0,124,124,197,197
7539,53.95,10.6833,PO,122,27,196,20,104,131,186,206
7540,54.1333,10.6167,PO,120,13,194,11,113,126,186,197
7543,54.2167,10.6167,PO,126,14,196,0,118,132,196,196
7544,54.1833,10.55,PO,123,29,193,24,105,134,180,204
7546,53.95,10.7333,PO,119,33,188,12,101,134,184,196
7554,54.7333,9.5667,PO,126,10,204,41,120,130,181,222
7555,54.7,9.55,PO,123,16,187,22,114,130,178,200
7559,54.75,9.9,PO,124,20,183,32,113,133,163,195
7566,54.75,9.5167,PO,123,30,180,1,108,138,180,181
7568,54.7333,9.5,PO,122,11,201,0,118,129,201,201
7575,54.6833,10,PO,130,16,213,11,122,138,208,219
7579,54.7667,9.1667,PO,109,13,185,50,105,118,160,210
7599,53.6833,10.6,PO,120,12,189,17,114,126,183,200
7601,53.6167,10.7,PO,102,15,192,8,93,108,187,195
7605,53.75,10.6167,PO,114,29,174,35,93,122,157,192
7616,54.6167,8.9667,PO,90,0,165,0,90,90,165,165
7620,54.4167,9.25,PO,124,28,186,8,104,132,182,190
7623,54.6667,9.1333,PO,120,28,192,46,104,132,166,212
7624,54.5167,8.65,PO,120,4,208,9,118,122,204,213
7635,54.25,9.1833,PO,112,15,167,30,105,120,152,182
7640,54.4333,11.2,PO,122,9,186,28,119,128,173,201
7641,54.5,11.1,PO,124,18,198,17,117,135,188,205
7642,54.2333,11.0833,PO,123,31,192,13,103,134,189,202
7643,54.25,10.9167,PO,133,11,193,17,125,136,184,201
7646,54.25,10.8333,PO,126,21,189,11,115,136,181,192
7650,54.1,10.8167,PO,126,16,196,0,118,134,196,196
7651,54.3,10.9,PO,124,17,184,4,117,134,182,186
7660,53.7,9.8,PO,118,20,179,13,106,126,172,185
7669,53.8167,9.7833,PO,120,15,189,23,114,129,178,201
7682,54.3167,10.5,PO,119,13,184,21,112,125,173,194
7684,54.3567,10.182,PO,113,20,180,26,101,121,166,192
7693,54.2833,10.2333,PO,129,11,199,31,124,135,178,209
7697,54.1167,10.1667,PO,126,15,184,30,118,133,170,200
7700,54.1667,10.05,PO,130,0,194,2,130,130,193,195
7701,54.3333,9.8333,PO,124,0,195,0,124,124,195,195
7703,54.2,9.75,PO,122,12,187,13,116,128,182,195
7706,54.25,9.55,PO,115,23,176,14,102,125,167,181
7709,54.2333,9.5167,PO,125,27,186,19,108,135,177,196
7711,54.0833,9.65,PO,120,31,193,21,109,140,184,205
7713,54.2333,9.6667,PO,126,0,186,0,126,126,186,186
7715,54.1667,9.85,PO,114,23,186,17,104,127,177,194
7716,54.3,9.6667,PO,124,13,191,16,119,132,185,201
7719,54.2667,9.9833,PO,121,0,196,7,121,121,193,200
7721,54.1167,9.4333,PO,126,20,198,18,114,134,188,206
7722,54.1333,9.55,PO,107,23,174,42,99,122,156,198
7730,54.6167,9.8333,PO,125,19,192,43,115,134,182,225
7737,54.4167,9.5167,PO,127,10,210,27,124,134,195,222
7745,53.9167,9.8833,PO,129,13,195,14,121,134,190,204
7746,53.9333,10.3,PO,110,17,197,0,102,119,197,197
7748,54.0667,10.2167,PO,125,32,197,41,108,140,183,224
7750,53.95,10.25,PO,118,13,203,44,113,126,183,227
7752,53.9,10.0667,PO,129,11,181,0,123,134,181,181
7753,53.9667,10.0833,PO,122,4,192,7,120,124,188,195
7754,53.7833,10,PO,113,10,180,9,109,119,175,184
7755,53.85,9.9667,PO,124,7,206,0,121,128,206,206
7757,53.9833,10.25,PO,117,11,210,21,111,122,199,220
7759,53.8167,10.15,PO,121,0,180,0,121,121,180,180
7761,54.0167,10.1667,PO,115,0,192,14,115,115,184,198
7769,53.7833,10.0833,PO,126,7,197,17,123,130,191,208
7772,53.9,9.7833,PO,120,13,174,16,115,128,167,183
7774,53.8167,9.6167,PO,113,14,185,20,104,118,174,194
7775,53.95,9.7167,PO,112,33,187,43,96,129,166,209
7776,53.85,9.4833,PO,119,18,184,59,106,124,163,222
7778,54.0167,9.6833,PO,116,16,181,32,106,122,164,196
7781,54.0167,9.8,PO,102,19,176,18,90,109,168,186
7784,53.6667,10.2,PO,128,12,202,16,121,133,196,212
7786,53.7333,10.2667,PO,114,18,174,21,103,121,166,187
7795,53.8333,10.4833,PO,121,33,184,15,97,130,175,190
7798,53.8667,10.3333,PO,122,36,192,12,93,129,188,200
7801,53.7333,10.1667,PO,122,11,177,23,116,127,168,191
7802,54.15,9.2833,PO,114,29,188,0,99,128,188,188
7805,54.0167,8.9,PO,113,23,195,32,102,125,177,209
7807,54.15,9.0667,PO,127,16,211,0,118,134,211,211
7811,54.0833,9.1167,PO,117,17,175,8,105,122,170,178
7812,53.9833,9.1167,PO,114,19,180,13,102,121,175,188
7819,54.75,8.9667,PO,123,9,195,17,119,128,187,204
7821,54.8,9.1667,PO,128,14,195,38,121,135,182,220
7828,54.6833,8.5667,PO,121,12,190,22,116,128,178,200
7829,53.65,10.1833,PO,120,35,188,46,95,130,157,203
7830,53.4833,10.2333,PO,123,3,185,15,121,124,179,194
7832,53.6667,10.0333,PO,131,20,201,0,121,141,201,201
7841,53.4333,10.2833,PO,115,4,189,6,113,117,186,192
7849,52.7,8.5,PO,122,0,191,0,122,122,191,191
7853,52.6333,8.3833,PO,117,6,158,0,114,120,158,158
7855,52.7667,8.75,PO,116,21,189,26,104,125,181,207
7858,52.75,8.8333,PO,115,9,182,31,110,119,173,204
7859,52.6,8.4833,PO,113,21,177,11,101,122,171,182
7862,52.8,8.8333,PO,122,31,199,23,109,140,189,212
7865,52.5667,8.5667,PO,122,12,204,15,116,128,197,212
7868,52.7833,9.1333,PO,107,34,168,17,84,118,158,175
7875,52.8667,9.0333,PO,113,25,162,22,102,127,146,168
7876,52.9833,8.8167,PO,110,13,182,11,102,115,175,186
