ID,Crop_name_de,Crop,Year,yield_obs,yield_obs_detr
1003,Winterweizen,WW,1999,80.152,80.152
1003,Winterweizen,WW,2000,80.83999999999999,80.83999999999999
1003,Winterweizen,WW,2001,83.162,83.162
1003,Winterweizen,WW,2002,66.908,66.908
1003,Winterweizen,WW,2003,72.928,72.928
1003,Winterweizen,WW,2004,78.776,78.776
1003,Winterweizen,WW,2005,82.818,82.818
1003,Winterweizen,WW,2006,74.218,74.218
1003,Winterweizen,WW,2007,61.059999999999995,61.059999999999995
1003,Winterweizen,WW,2008,80.152,80.152
1003,Winterweizen,WW,2009,74.906,74.906
1003,Winterweizen,WW,2010,75.594,75.594
1003,Winterweizen,WW,2011,69.91799999999999,69.91799999999999
1003,Winterweizen,WW,2012,73.87400000000001,73.87400000000001
1003,Winterweizen,WW,2013,75.594,75.594
1003,Winterweizen,WW,2014,90.3,90.3
1003,Winterweizen,WW,2015,85.57,85.57
1003,Winterweizen,WW,2016,83.162,83.162
1003,Winterweizen,WW,2017,72.584,72.584
1003,Winterweizen,WW,2018,65.102,65.102
1003,Winterweizen,WW,2019,73.702,73.702
1003,Winterweizen,WW,2020,72.584,72.584
1051,Winterweizen,WW,1999,80.152,80.152
1051,Winterweizen,WW,2000,83.592,83.592
1051,Winterweizen,WW,2001,82.56,82.56
1051,Winterweizen,WW,2002,69.23,69.23
1051,Winterweizen,WW,2003,72.49799999999999,72.49799999999999
1051,Winterweizen,WW,2004,80.324,80.324
1051,Winterweizen,WW,2005,80.152,80.152
1051,Winterweizen,WW,2006,75.078,75.078
1051,Winterweizen,WW,2007,66.47800000000001,66.47800000000001
1051,Winterweizen,WW,2008,84.79599999999999,84.79599999999999
1051,Winterweizen,WW,2009,80.66799999999999,80.66799999999999
1051,Winterweizen,WW,2010,76.54,76.54
1051,Winterweizen,WW,2011,77.48599999999999,77.48599999999999
1051,Winterweizen,WW,2012,75.33599999999998,75.33599999999998
1051,Winterweizen,WW,2013,74.73400000000001,74.73400000000001
