Crop,Crop_name_de,Year,yield_obs,yield_obs_detr
WW,Winterweizen,1999,65.70400000000001,65.70400000000001
WW,Winterweizen,2000,62.952,62.81758554488985
WW,Winterweizen,2001,68.11200000000001,67.84317108977976
WW,Winterweizen,2002,59.684000000000005,59.28075663466967
WW,Winterweizen,2003,56.330000000000005,55.79234217955956
WW,Winterweizen,2004,70.606,69.93392772444946
WW,Winterweizen,2005,64.58599999999998,63.77951326933932
WW,Winterweizen,2006,62.26400000000001,61.32309881422923
WW,Winterweizen,2007,60.114000000000004,59.03868435911913
WW,Winterweizen,2008,69.91799999999999,68.70826990400903
WW,Winterweizen,2009,67.424,66.07985544889894
WW,Winterweizen,2010,62.35,60.87144099378879
WW,Winterweizen,2011,60.715999999999994,59.10302653867869
WW,Winterweizen,2012,63.64,61.8926120835686
WW,Winterweizen,2013,69.05799999999999,67.1761976284585
WW,Winterweizen,2014,74.648,72.63178317334835
WW,Winterweizen,2015,70.08999999999999,67.93936871823826
WW,Winterweizen,2016,66.134,63.84895426312817
WW,Winterweizen,2017,66.134,63.714539808018074
WW,Winterweizen,2018,58.222,55.66812535290798
WW,Winterweizen,2019,64.07,61.38171089779783
WW,Winterweizen,2020,67.76799999999999,64.94529644268772
WRye,Roggen,1999,49.794,49.794
WRye,Roggen,2000,42.397999999999996,42.397999999999996
WRye,Roggen,2001,52.717999999999996,52.717999999999996
WRye,Roggen,2002,43.258,43.258
WRye,Roggen,2003,36.894,36.894
WRye,Roggen,2004,52.717999999999996,52.717999999999996
WRye,Roggen,2005,43.774,43.774
WRye,Roggen,2006,42.226,42.226
WRye,Roggen,2007,34.572,34.572
WRye,Roggen,2008,43.688,43.688
WRye,Roggen,2009,49.019999999999996,49.019999999999996
WRye,Roggen,2010,39.818,39.818
WRye,Roggen,2011,35.346000000000004,35.346000000000004
WRye,Roggen,2012,47.042,47.042
WRye,Roggen,2013,51.428,51.428
WRye,Roggen,2014,52.632,52.632
WRye,Roggen,2015,48.676,48.676
WRye,Roggen,2016,47.816,47.816
WRye,Roggen,2017,43.774,43.774
WRye,Roggen,2018,36.206,36.206
WRye,Roggen,2019,43.774,43.774
WRye,Roggen,2020,47.472,47.472
WB,Wintergerste,1999,56.674,56.674
WB,Wintergerste,2000,54.868,54.549154150197644
WB,Wintergerste,2001,60.974000000000004,60.33630830039529
WB,Wintergerste,2002,52.202,51.24546245059283
WB,Wintergerste,2003,45.322,44.04661660079047
WB,Wintergerste,2004,60.715999999999994,59.12177075098811
WB,Wintergerste,2005,56.41599999999999,54.50292490118575
WB,Wintergerste,2006,54.782000000000004,52.5500790513834
WB,Wintergerste,2007,49.965999999999994,47.41523320158104
WB,Wintergerste,2008,56.846,53.976387351778676
WB,Wintergerste,2009,59.769999999999996,56.581541501976226
WB,Wintergerste,2010,57.275999999999996,53.76869565217387
WB,Wintergerste,2011,48.76200000000001,44.93584980237151
WB,Wintergerste,2012,55.814,51.669003952569156
WB,Wintergerste,2013,59.598,55.1341581027668
WB,Wintergerste,2014,66.47800000000001,61.695312252964435
WB,Wintergerste,2015,66.134,61.03246640316208
WB,Wintergerste,2016,60.80200000000001,55.381620553359625
WB,Wintergerste,2017,63.21,57.47077470355726
WB,Wintergerste,2018,52.116,46.057928853754916
WB,Wintergerste,2019,62.092,55.71508300395256
WB,Wintergerste,2020,57.87799999999999,51.182237154150194
SB,Sommergerste,1999,43.774,43.774
SB,Sommergerste,2000,39.818,39.49959119141726
SB,Sommergerste,2001,41.108,40.47118238283452
SB,Sommergerste,2002,37.58200000000001,36.626773574251885
SB,Sommergerste,2003,41.36600000000001,40.092364765669146
SB,Sommergerste,2004,47.042,45.449955957086416
SB,Sommergerste,2005,39.903999999999996,37.99354714850367
SB,Sommergerste,2006,39.903999999999996,37.675138339920935
SB,Sommergerste,2007,36.722,34.1747295313382
SB,Sommergerste,2008,41.108,38.24232072275556
SB,Sommergerste,2009,44.462,41.277911914172826
SB,Sommergerste,2010,42.312000000000005,38.80950310559009
SB,Sommergerste,2011,42.14,38.31909429700735
SB,Sommergerste,2012,48.504,44.364685488424605
SB,Sommergerste,2013,46.612,42.15427667984187
SB,Sommergerste,2014,51.428,46.651867871259135
SB,Sommergerste,2015,46.612,41.517459062676494
SB,Sommergerste,2016,45.064,39.651050254093754
SB,Sommergerste,2017,46.440000000000005,40.70864144551101
SB,Sommergerste,2018,42.57,36.520232636928284
SB,Sommergerste,2019,44.032000000000004,37.66382382834555
SB,Sommergerste,2020,47.21399999999999,40.527415019762806
OAT,Hafer,1999,43.0,43.0
OAT,Hafer,2000,39.474,39.474
OAT,Hafer,2001,42.397999999999996,42.397999999999996
OAT,Hafer,2002,37.496,37.496
OAT,Hafer,2003,39.474,39.474
OAT,Hafer,2004,44.806000000000004,44.806000000000004
OAT,Hafer,2005,39.474,39.474
OAT,Hafer,2006,38.872,38.872
OAT,Hafer,2007,35.174,35.174
OAT,Hafer,2008,38.012,38.012
OAT,Hafer,2009,43.688,43.688
OAT,Hafer,2010,36.378,36.378
OAT,Hafer,2011,37.58200000000001,37.58200000000001
OAT,Hafer,2012,44.72,44.72
OAT,Hafer,2013,41.022000000000006,41.022000000000006
OAT,Hafer,2014,43.516,43.516
OAT,Hafer,2015,38.786,38.786
OAT,Hafer,2016,39.903999999999996,39.903999999999996
OAT,Hafer,2017,38.7,38.7
OAT,Hafer,2018,35.346000000000004,35.346000000000004
OAT,Hafer,2019,35.346000000000004,35.346000000000004
OAT,Hafer,2020,39.56,39.56
TR,Triticale,1999,52.804,52.804
TR,Triticale,2000,48.246,48.088179559570854
TR,Triticale,2001,55.12599999999999,54.810359119141715
TR,Triticale,2002,47.12799999999999,46.654538678712626
TR,Triticale,2003,42.656,42.02471823828349
TR,Triticale,2004,55.728,54.93889779785435
TR,Triticale,2005,47.902,46.95507735742522
TR,Triticale,2006,47.55799999999999,46.45325691699607
TR,Triticale,2007,46.526,45.26343647656693
TR,Triticale,2008,51.342,49.92161603613779
TR,Triticale,2009,53.922,52.34379559570865
TR,Triticale,2010,46.69799999999999,44.961975155279504
TR,Triticale,2011,44.978,43.084154714850364
TR,Triticale,2012,53.147999999999996,51.096334274421224
TR,Triticale,2013,56.502,54.29251383399209
TR,Triticale,2014,61.145999999999994,58.778693393562946
TR,Triticale,2015,55.642,53.116872953133864
TR,Triticale,2016,52.03,49.34705251270472
TR,Triticale,2017,51.256,48.415232072275586
TR,Triticale,2018,46.526,43.52741163184644
TR,Triticale,2019,52.717999999999996,49.5615911914173
TR,Triticale,2020,51.342,48.02777075098817
PO,Kartoffeln,1999,84.375,84.375
PO,Kartoffeln,2000,97.51499999999999,97.18051101072841
PO,Kartoffeln,2001,91.75500000000001,91.08602202145681
PO,Kartoffeln,2002,88.02,87.01653303218521
PO,Kartoffeln,2003,77.67,76.33204404291361
PO,Kartoffeln,2004,99.405,97.73255505364192
PO,Kartoffeln,2005,94.45500000000001,92.44806606437032
PO,Kartoffeln,2006,82.2825,79.94107707509872
PO,Kartoffeln,2007,95.28750000000001,92.61158808582711
PO,Kartoffeln,2008,98.46000000000001,95.44959909655553
PO,Kartoffeln,2009,99.675,96.33011010728393
PO,Kartoffeln,2010,89.73,86.05062111801233
PO,Kartoffeln,2011,102.96000000000001,98.94613212874074
PO,Kartoffeln,2012,100.68749999999999,96.33914313946914
PO,Kartoffeln,2013,89.6175,84.93465415019755
PO,Kartoffeln,2014,106.695,101.67766516092594
PO,Kartoffeln,2015,98.5725,93.22067617165436
PO,Kartoffeln,2016,99.94500000000001,94.25868718238276
PO,Kartoffeln,2017,105.27749999999999,99.25669819311115
PO,Kartoffeln,2018,79.605,73.24970920383956
PO,Kartoffeln,2019,87.8175,81.12772021456796
PO,Kartoffeln,2020,96.3675,89.34323122529636
SU,Zuckerrüben,1999,126.81,126.81
SU,Zuckerrüben,2000,138.735,136.44884246188602
SU,Zuckerrüben,2001,124.29,119.717684923772
SU,Zuckerrüben,2002,131.22000000000003,124.36152738565801
SU,Zuckerrüben,2003,119.745,110.60036984754399
SU,Zuckerrüben,2004,138.7125,127.28171230942999
SU,Zuckerrüben,2005,135.405,121.68805477131596
SU,Zuckerrüben,2006,129.89249999999998,113.88939723320198
SU,Zuckerrüben,2007,140.4675,122.17823969508797
SU,Zuckerrüben,2008,140.1525,119.57708215697396
SU,Zuckerrüben,2009,152.01,129.14842461886
